Product,Value($),Value(abbreviated),Year,Country
Ores slag and ash,18490000.00,$18.49 M,2017,China
Pulp of wood- fibrous cellulosic material- waste,9830000.00,$9.83M,2017,China
Coffee- tea- mate and spices,8360000.00,$8.36M,2017,China
Sugars and sugar confectionery,7110000.00,$7.11M,2017,China
Copper,4070000.00,$4.07M,2017,China
Aluminum,2590000.00,$2.59M,2017,China
Articles of apparel- knit or crocheted,2140000.00,$2.14M,2017,China
Wood and articles of wood- wood charcoal,2130000.00,$2.13M,2017,China
Iron and steel,2020000.00,$2.02M,2017,China
Plastics,965560.00,$965.56K,2017,China
Edible fruits- nuts- peel of citrus fruit- melons,777400.00,$777.40K,2017,China
Rubbers,410140.00,$410.14K,2017,China
Oil seed- oleagic fruits- grain- seed- fruits,338750.00,$338.75K,2017,China
Wool- animal hair- horsehair yarn and fabric,312260.00,$312.26K,2017,China
Articles of apparel- not knit or crocheted,290950.00,$290.95K,2017,China
Paper and paperboard- articles of pulp- paper and board,203510.00,$203.51K,2017,China
Electrical- electronic equipment,150700.00,$150.7K,2017,China
Manmade filaments,144490.00,$144.49K,2017,China
Vegetable- fruit- nut food preparations,77100.00,$77.10K,2017,China
Railway- tramway locomotives- rolling stock- equipment,72840.00,$72.84K,2017,China
Live trees- plants- bulbs- roots- cut flowers,68950.00,$68.95K,2017,China
Pearls- precious stones- metals- coins,55910.00,$55.91K,2017,China
Machinery- nuclear reactors- boilers,52030.00,$52.03K,2017,China
Manmade staple fibers,47670.00,$47.67K,2017,China
Miscellaneous chemical products,32870.00,$32.87K,2017,China
Edible vegetables and certain roots and tubers,28020.00,$28.02K,2017,China
Soaps- lubricants- waxes- candles- modelling pastes,22040.00,$22.04K,2017,China
Miscellanneous manufactured articles,21560.00,$21.56K,2017,China
Organic chemicals,21400.00,$21.4K,2017,China
Special woven or tufted fabric- lace- tapestry,15690.00,$15.69K,2017,China
Salt- sulphur- earth- stone- plaster- lime and cement,15200.00,$15.20K,2017,China
Essential oils- perfumes- cosmetics- toileteries,11500.00,$11.5K,2017,China
Raw hides and skins (other than furskins) and leather,8630.00,$8.63K,2017,China
Zinc,6000.00,$6K,2017,China
Vehicles other than railway- tramway,1100.00,$1.10K,2017,China
Articles of leather- animal gut- harness- travel good,1000.00,"$1,000 ",2017,China
Toys- games- sports requisites,925.00,$925 ,2017,China
Impregnated- coated or laminated textile fabric,853.00,$853 ,2017,China
Articles of iron or steel,828.00,$828 ,2017,China
Miscellaneous articles of base metal,706.00,$706 ,2017,China
Knitted or crocheted fabric,331.00,$331 ,2017,China
Cotton,184.00,$184 ,2017,China
Ceramic products,100.00,$100 ,2017,China
Other made textile articles- sets- worn clothing,75.00,$75 ,2017,China
Inorganic chemicals- precious metal compound- isotope,220090.00,$220.09K,2016,China
Beverages- spirits and vinegar,92000.00,$92K,2016,China
